;Bureau;Circo;Tour;Inscrits;Total votants;Participation;Blancs;Nuls;Exprimés;M. CADALEN Pierre-Yves;M. LARSONNEUR Jean-Charles
0;027-MAIRIE CENTRALE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
1;028-MAIRIE CENTRALE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
2;029-GROUPE SCOLAIRE SIMONE VEIL;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
3;030-GROUPE SCOLAIRE SIMONE VEIL;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
4;031-GROUPE SCOLAIRE JEAN MACE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
5;032-GROUPE SCOLAIRE JEAN MACE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
6;033-GROUPE SCOLAIRE JEAN MACE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
7;034-GROUPE SCOLAIRE SANQUER;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
8;035-GROUPE SCOLAIRE SANQUER;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
9;036-GROUPE SCOLAIRE SANQUER;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
10;037-HOTEL DE LA METROPOLE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
11;038-PATRONAGE LAÏQUE GUERIN;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
12;039-GROUPE SCOLAIRE GUERIN;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
13;040-GROUPE SCOLAIRE GUERIN;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
14;041-PATRONAGE LAÏQUE SANQUER;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
15;042-PATRONAGE LAÏQUE SANQUER;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
16;043-GROUPE SCOLAIRE PILIER ROUGE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
17;044-GROUPE SCOLAIRE PILIER ROUGE;2;2;;;;;;;;
18;045-GROUPE SCOLAIRE FORESTOU;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
19;046-GROUPE SCOLAIRE FORESTOU;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
20;047-MAISON POUR TOUS DU GUELMEUR;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
21;048-MAISON POUR TOUS DU GUELMEUR;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
22;049-MAIRIE DE SAINT-MARC;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
23;050-GROUPE SCOLAIRE J. KERHOAS;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
24;051-GROUPE SCOLAIRE KERISBIAN;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
25;052-GROUPE SCOLAIRE KERISBIAN;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
26;053-FOYER LAÏQUE de SAINT-MARC;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
27;054-FOYER LAÏQUE de SAINT-MARC;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
28;055-PATRONAGE LAIQUE du PILIER ROUGE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
29;056-PATRONAGE LAIQUE du PILIER ROUGE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
30;057-GROUPE SCOLAIRE KERBERNARD;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
31;058-GROUPE SCOLAIRE KERBERNARD;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
32;059-MAISON POUR TOUS DE PEN AR CRÉACH;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
33;060-CENTRE SOCIAL DE PEN AR CRÉACH;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
34;061-GROUPE SCOLAIRE PEN-AR-STREAT;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
35;062-MAIRIE DE L'EUROPE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
36;063-GROUPE SCOLAIRE JACQUARD;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
37;064-GROUPE SCOLAIRE JACQUARD;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
38;065-GROUPE SCOLAIRE JACQUARD;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
39;066-GROUPE SCOLAIRE KERICHEN;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
40;067-GROUPE SCOLAIRE KERICHEN;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
