;Numéro;Bureau;Canton;Circo;Scrutin;Inscrits;Votants;Blancs;Nuls;Exprimés;Participation;M. CADALEN Pierre-Yves - votes;M. CADALEN Pierre-Yves - pourcentage;M. LARSONNEUR Jean-Charles - votes;M. LARSONNEUR Jean-Charles - pourcentage;M. COATANEA Marc - votes;M. COATANEA Marc - pourcentage;M. SALAMI Réza - votes;M. SALAMI Réza - pourcentage;Mme POULLAOUEC Yvette - votes;Mme POULLAOUEC Yvette - pourcentage;Mme GELEBART Anne - votes;Mme GELEBART Anne - pourcentage;M. CABON Mikaël - votes;M. CABON Mikaël - pourcentage;Mme LOUVEL Elisabeth - votes;Mme LOUVEL Elisabeth - pourcentage;M. PELLICANO Fortuné - votes;M. PELLICANO Fortuné - pourcentage;M. LE CORRE Jean-Yves - votes;M. LE CORRE Jean-Yves - pourcentage;M. COLLARD Rémy - votes;M. COLLARD Rémy - pourcentage;M. HEBERT Gérald - votes;M. HEBERT Gérald - pourcentage;Mme MADEC Sylvia - votes;Mme MADEC Sylvia - pourcentage;Mme MIGEREL Sandrine - votes;Mme MIGEREL Sandrine - pourcentage;M. HITA Melvyn - votes;M. HITA Melvyn - pourcentage;Mme VASSEUR Alice - votes;Mme VASSEUR Alice - pourcentage
0;104;CENTRE TECHNIQUE MUNICIPAL;4;02;Élections Législatives 1er tour;805;384;17;0;367;47,70 %;103;28,07 %;80;21,80 %;48;13,08 %;42;11,44 %;35;9,54 %;12;3,27 %;12;3,27 %;10;2,72 %;9;2,45 %;5;1,36 %;4;1,09 %;3;0,82 %;3;0,82 %;1;0,27 %;0;0,00 %;0;0,00 %
1;103;CENTRE TECHNIQUE MUNICIPAL;4;02;Élections Législatives 1er tour;759;345;14;0;331;45,45 %;74;22,36 %;58;17,52 %;45;13,60 %;35;10,57 %;51;15,41 %;13;3,93 %;21;6,34 %;18;5,44 %;4;1,21 %;3;0,91 %;2;0,60 %;2;0,60 %;1;0,30 %;3;0,91 %;0;0,00 %;1;0,30 %
2;102;PEPINIERE D'ENTREPRISES DE MEZHEVEN;4;02;Élections Législatives 1er tour;938;443;11;0;432;47,23 %;148;34,26 %;47;10,88 %;85;19,68 %;36;8,33 %;40;9,26 %;20;4,63 %;12;2,78 %;10;2,31 %;7;1,62 %;4;0,93 %;1;0,23 %;4;0,93 %;7;1,62 %;7;1,62 %;0;0,00 %;4;0,93 %
3;079;MAIRIE DE LAMBEZELLEC;1;02;Élections Législatives 1er tour;1176;576;21;0;555;48,98 %;124;22,34 %;84;15,14 %;94;16,94 %;73;13,15 %;73;13,15 %;20;3,60 %;26;4,68 %;14;2,52 %;8;1,44 %;6;1,08 %;2;0,36 %;5;0,90 %;4;0,72 %;16;2,88 %;4;0,72 %;2;0,36 %
4;046;GROUPE SCOLAIRE FORESTOU;5;02;Élections Législatives 1er tour;832;494;7;0;487;59,38 %;151;31,01 %;68;13,96 %;70;14,37 %;59;12,11 %;33;6,78 %;22;4,52 %;26;5,34 %;14;2,87 %;5;1,03 %;5;1,03 %;1;0,21 %;3;0,62 %;3;0,62 %;22;4,52 %;0;0,00 %;5;1,03 %
5;041;PATRONAGE LAÏQUE SANQUER;5;02;Élections Législatives 1er tour;869;490;12;0;478;56,39 %;212;44,35 %;47;9,83 %;57;11,92 %;47;9,83 %;26;5,44 %;19;3,97 %;22;4,60 %;20;4,18 %;6;1,26 %;2;0,42 %;1;0,21 %;2;0,42 %;1;0,21 %;14;2,93 %;0;0,00 %;2;0,42 %
6;048;MAISON POUR TOUS DU GUELMEUR;5;02;Élections Législatives 1er tour;811;482;10;0;472;59,43 %;155;32,84 %;75;15,89 %;70;14,83 %;56;11,86 %;29;6,14 %;7;1,48 %;26;5,51 %;21;4,45 %;6;1,27 %;6;1,27 %;0;0,00 %;0;0,00 %;3;0,64 %;13;2,75 %;1;0,21 %;4;0,85 %
7;077;GROUPE SCOLAIRE BUISSON;1;02;Élections Législatives 1er tour;838;307;10;0;297;36,63 %;83;27,95 %;34;11,45 %;44;14,81 %;42;14,14 %;31;10,44 %;14;4,71 %;9;3,03 %;10;3,37 %;2;0,67 %;6;2,02 %;3;1,01 %;1;0,34 %;3;1,01 %;8;2,69 %;2;0,67 %;5;1,68 %
8;083;GROUPE SCOLAIRE QUIZAC;1;02;Élections Législatives 1er tour;778;264;16;0;248;33,93 %;61;24,60 %;41;16,53 %;29;11,69 %;24;9,68 %;53;21,37 %;3;1,21 %;3;1,21 %;5;2,02 %;2;0,81 %;5;2,02 %;3;1,21 %;7;2,82 %;2;0,81 %;5;2,02 %;2;0,81 %;3;1,21 %
9;084;GROUPE SCOLAIRE QUIZAC;1;02;Élections Législatives 1er tour;733;343;12;0;331;46,79 %;86;25,98 %;52;15,71 %;44;13,29 %;32;9,67 %;60;18,13 %;7;2,11 %;8;2,42 %;6;1,81 %;5;1,51 %;5;1,51 %;4;1,21 %;8;2,42 %;4;1,21 %;4;1,21 %;2;0,60 %;4;1,21 %
