	Numéro	Bureau	Canton	Circo	Scrutin	Inscrits	Votants	Blancs	Nuls	Exprimés	Participation	M. SMOLARZ Pierre - votes	M. SMOLARZ Pierre - pourcentage	M. LE GAC Didier - votes	M. LE GAC Didier - pourcentage	M. ABASQ Roger - votes	M. ABASQ Roger - pourcentage	M. LE BIAN Francis - votes	M. LE BIAN Francis - pourcentage	M. GOVERNATORI Jean-Marc - votes	M. GOVERNATORI Jean-Marc - pourcentage	Mme LE MOIGN Patricia - votes	Mme LE MOIGN Patricia - pourcentage	M. DUPRAT Loïc - votes	M. DUPRAT Loïc - pourcentage	M. MULLER Matthieu - votes	M. MULLER Matthieu - pourcentage	M. GUEGUEN Yves - votes	M. GUEGUEN Yves - pourcentage
0	024	GROUPE SCOLAIRE QUELIVERZAN	2	03	Élections Législatives 1er tour	864	447	11	0	436	51,74 %	191	43,81 %	138	31,65 %	37	8,49 %	19	4,36 %	17	3,90 %	14	3,21 %	11	2,52 %	5	1,15 %	4	0,92 %
1	023	MAISON DE L'INTERNATIONAL	2	03	Élections Législatives 1er tour	642	302	10	0	292	47,04 %	149	51,03 %	57	19,52 %	39	13,36 %	10	3,42 %	10	3,42 %	8	2,74 %	4	1,37 %	4	1,37 %	11	3,77 %
2	015	MAIRIE DES QUATRE MOULINS	3	03	Élections Législatives 1er tour	841	410	10	0	400	48,75 %	171	42,75 %	117	29,25 %	37	9,25 %	24	6,00 %	17	4,25 %	16	4,00 %	5	1,25 %	7	1,75 %	6	1,50 %
3	012	PATRONAGE LAÏQUE JEAN LE GOUILL	3	03	Élections Législatives 1er tour	824	400	17	0	383	48,54 %	153	39,95 %	122	31,85 %	35	9,14 %	26	6,79 %	16	4,18 %	13	3,39 %	7	1,83 %	0	0,00 %	11	2,87 %
4	013	PATRONAGE LAÏQUE JEAN LE GOUILL	3	03	Élections Législatives 1er tour	836	310	22	0	288	37,08 %	101	35,07 %	88	30,56 %	46	15,97 %	16	5,56 %	7	2,43 %	14	4,86 %	4	1,39 %	3	1,04 %	9	3,13 %
5	014	GROUPE SCOLAIRE QUATRE MOULINS	3	03	Élections Législatives 1er tour	804	412	12	0	400	51,24 %	162	40,50 %	127	31,75 %	32	8,00 %	34	8,50 %	10	2,50 %	23	5,75 %	3	0,75 %	3	0,75 %	6	1,50 %
6	022	GROUPE SCOLAIRE VAUBAN	2	03	Élections Législatives 1er tour	897	421	13	0	408	46,93 %	226	55,39 %	70	17,16 %	34	8,33 %	24	5,88 %	16	3,92 %	10	2,45 %	9	2,21 %	9	2,21 %	10	2,45 %
7	025	GROUPE SCOLAIRE QUELIVERZAN	2	03	Élections Législatives 1er tour	840	409	19	0	390	48,69 %	175	44,87 %	100	25,64 %	47	12,05 %	14	3,59 %	12	3,08 %	19	4,87 %	6	1,54 %	10	2,56 %	7	1,79 %
8	007	MAIRIE DE SAINT-PIERRE	3	03	Élections Législatives 1er tour	767	264	4	0	260	34,42 %	118	45,38 %	67	25,77 %	41	15,77 %	8	3,08 %	11	4,23 %	2	0,77 %	4	1,54 %	6	2,31 %	3	1,15 %
9	009	GROUPE SCOLAIRE ELUARD	3	03	Élections Législatives 1er tour	861	391	14	0	377	45,41 %	144	38,20 %	103	27,32 %	68	18,04 %	18	4,77 %	11	2,92 %	22	5,84 %	3	0,80 %	2	0,53 %	6	1,59 %
10	008	GROUPE SCOLAIRE ELUARD	3	03	Élections Législatives 1er tour	867	415	16	0	399	47,87 %	142	35,59 %	129	32,33 %	64	16,04 %	23	5,76 %	12	3,01 %	9	2,26 %	4	1,00 %	3	0,75 %	13	3,26 %
11	001	GROUPE SCOLAIRE PREVERT	3	03	Élections Législatives 1er tour	914	538	19	0	519	58,86 %	197	37,96 %	168	32,37 %	46	8,86 %	47	9,06 %	24	4,62 %	24	4,62 %	2	0,39 %	6	1,16 %	5	0,96 %
12	006	GROUPE SCOLAIRE JEAN DE LA FONTAINE	3	03	Élections Législatives 1er tour	869	357	14	0	343	41,08 %	115	33,53 %	84	24,49 %	65	18,95 %	20	5,83 %	7	2,04 %	18	5,25 %	6	1,75 %	14	4,08 %	14	4,08 %
13	020	GROUPE SCOLAIRE LA POINTE	2	03	Élections Législatives 1er tour	829	413	18	0	395	49,82 %	194	49,11 %	97	24,56 %	37	9,37 %	20	5,06 %	11	2,78 %	18	4,56 %	7	1,77 %	3	0,76 %	8	2,03 %
14	018	ECOLE MATERNELLE KERANGOFF	2	03	Élections Législatives 1er tour	764	337	14	0	323	44,11 %	125	38,70 %	91	28,17 %	45	13,93 %	26	8,05 %	11	3,41 %	5	1,55 %	5	1,55 %	7	2,17 %	8	2,48 %
15	011	GROUPE SCOLAIRE KERARGAOUYAT	3	03	Élections Législatives 1er tour	1002	421	4	0	417	42,02 %	130	31,18 %	118	28,30 %	75	17,99 %	27	6,47 %	12	2,88 %	40	9,59 %	8	1,92 %	2	0,48 %	5	1,20 %
16	016	CENTRE SOCIAL KERANGOFF	2	03	Élections Législatives 1er tour	764	390	21	0	369	51,05 %	155	42,01 %	90	24,39 %	39	10,57 %	30	8,13 %	13	3,52 %	25	6,78 %	10	2,71 %	4	1,08 %	3	0,81 %
17	017	CENTRE SOCIAL KERANGOFF	2	03	Élections Législatives 1er tour	818	401	15	0	386	49,02 %	141	36,53 %	119	30,83 %	39	10,10 %	29	7,51 %	12	3,11 %	19	4,92 %	9	2,33 %	9	2,33 %	9	2,33 %
18	010	GROUPE SCOLAIRE KERARGAOUYAT	3	03	Élections Législatives 1er tour	866	405	13	0	392	46,77 %	138	35,20 %	128	32,65 %	46	11,73 %	26	6,63 %	10	2,55 %	20	5,10 %	3	0,77 %	10	2,55 %	11	2,81 %
19	026	GROUPE SCOLAIRE QUELIVERZAN	2	03	Élections Législatives 1er tour	863	363	19	0	344	42,06 %	140	40,70 %	99	28,78 %	50	14,53 %	6	1,74 %	15	4,36 %	10	2,91 %	5	1,45 %	6	1,74 %	13	3,78 %
20	019	ECOLE MATERNELLE KERANGOFF	2	03	Élections Législatives 1er tour	922	410	15	0	395	44,47 %	185	46,84 %	104	26,33 %	35	8,86 %	19	4,81 %	18	4,56 %	24	6,08 %	5	1,27 %	1	0,25 %	4	1,01 %
21	021	GROUPE SCOLAIRE VAUBAN	2	03	Élections Législatives 1er tour	824	385	11	0	374	46,72 %	169	45,19 %	108	28,88 %	32	8,56 %	15	4,01 %	8	2,14 %	19	5,08 %	8	2,14 %	6	1,60 %	9	2,41 %
22	003	GROUPE SCOLAIRE PREVERT	3	03	Élections Législatives 1er tour	887	472	13	0	459	53,21 %	167	36,38 %	164	35,73 %	50	10,89 %	30	6,54 %	16	3,49 %	16	3,49 %	5	1,09 %	5	1,09 %	6	1,31 %
23	004	GROUPE SCOLAIRE PREVERT	3	03	Élections Législatives 1er tour	874	393	10	0	383	44,97 %	126	32,90 %	148	38,64 %	31	8,09 %	24	6,27 %	14	3,66 %	20	5,22 %	3	0,78 %	8	2,09 %	9	2,35 %
24	005	GROUPE SCOLAIRE JEAN DE LA FONTAINE	3	03	Élections Législatives 1er tour	959	491	30	0	461	51,20 %	150	32,54 %	158	34,27 %	63	13,67 %	20	4,34 %	15	3,25 %	19	4,12 %	10	2,17 %	16	3,47 %	10	2,17 %
25	002	GROUPE SCOLAIRE PREVERT	3	03	Élections Législatives 1er tour	879	501	14	0	487	57,00 %	164	33,68 %	188	38,60 %	44	9,03 %	30	6,16 %	18	3,70 %	23	4,72 %	2	0,41 %	7	1,44 %	11	2,26 %
