;Numéro;Bureau;Canton;Circo;Scrutin;Inscrits;Votants;Blancs;Nuls;Exprimés;Participation;M. LARSONNEUR Jean-Charles - votes;M. LARSONNEUR Jean-Charles - pourcentage;M. CADALEN Pierre-Yves - votes;M. CADALEN Pierre-Yves - pourcentage
0;104;CENTRE TECHNIQUE MUNICIPAL;4;02;Élections Législatives 2nd tour;805;382;22;0;360;47,45 %;186;51,67 %;174;48,33 %
1;103;CENTRE TECHNIQUE MUNICIPAL;4;02;Élections Législatives 2nd tour;759;330;22;0;308;43,48 %;185;60,06 %;123;39,94 %
2;102;PEPINIERE D'ENTREPRISES DE MEZHEVEN;4;02;Élections Législatives 2nd tour;938;435;19;0;416;46,38 %;188;45,19 %;228;54,81 %
3;079;MAIRIE DE LAMBEZELLEC;1;02;Élections Législatives 2nd tour;1177;564;35;0;529;47,92 %;294;55,58 %;235;44,42 %
4;046;GROUPE SCOLAIRE FORESTOU;5;02;Élections Législatives 2nd tour;832;490;32;0;458;58,89 %;250;54,59 %;208;45,41 %
5;041;PATRONAGE LAÏQUE SANQUER;5;02;Élections Législatives 2nd tour;869;498;20;0;478;57,31 %;193;40,38 %;285;59,62 %
6;048;MAISON POUR TOUS DU GUELMEUR;5;02;Élections Législatives 2nd tour;811;475;24;0;451;58,57 %;238;52,77 %;213;47,23 %
7;077;GROUPE SCOLAIRE BUISSON;1;02;Élections Législatives 2nd tour;838;307;27;0;280;36,63 %;133;47,50 %;147;52,50 %
8;083;GROUPE SCOLAIRE QUIZAC;1;02;Élections Législatives 2nd tour;778;251;31;0;220;32,26 %;101;45,91 %;119;54,09 %
9;084;GROUPE SCOLAIRE QUIZAC;1;02;Élections Législatives 2nd tour;734;306;21;0;285;41,69 %;153;53,68 %;132;46,32 %
10;070;GROUPE SCOLAIRE AUBRAC;1;02;Élections Législatives 2nd tour;801;383;18;0;365;47,82 %;160;43,84 %;205;56,16 %
11;071;GROUPE SCOLAIRE AUBRAC;1;02;Élections Législatives 2nd tour;0;0;0;0;0;0,00 %;0;0,00 %;0;0,00 %
12;085;GROUPE SCOLAIRE QUIZAC;1;02;Élections Législatives 2nd tour;788;250;21;0;229;31,73 %;99;43,23 %;130;56,77 %
13;049;MAIRIE DE SAINT-MARC;5;02;Élections Législatives 2nd tour;836;487;24;0;463;58,25 %;236;50,97 %;227;49,03 %
14;082;MAIRIE DE BELLEVUE (SALLE LA BARAQUE);1;02;Élections Législatives 2nd tour;664;259;17;0;242;39,01 %;133;54,96 %;109;45,04 %
15;076;GROUPE SCOLAIRE KERINOU;1;02;Élections Législatives 2nd tour;799;393;20;0;373;49,19 %;152;40,75 %;221;59,25 %
16;040;GROUPE SCOLAIRE GUERIN;2;02;Élections Législatives 2nd tour;886;507;23;0;484;57,22 %;131;27,07 %;353;72,93 %
17;078;GROUPE SCOLAIRE BUISSON;1;02;Élections Législatives 2nd tour;879;348;20;0;328;39,59 %;177;53,96 %;151;46,04 %
18;047;MAISON POUR TOUS DU GUELMEUR;5;02;Élections Législatives 2nd tour;756;331;28;0;303;43,78 %;128;42,24 %;175;57,76 %
19;065;GROUPE SCOLAIRE JACQUARD;5;02;Élections Législatives 2nd tour;907;449;21;0;428;49,50 %;138;32,24 %;290;67,76 %
20;091;PATRONAGE LAIQUE DE LA CAVALE BLANCHE;4;02;Élections Législatives 2nd tour;736;373;23;0;350;50,68 %;185;52,86 %;165;47,14 %
21;096;L.E.P. LANROZE;4;02;Élections Législatives 2nd tour;663;322;14;0;308;48,57 %;187;60,71 %;121;39,29 %
22;062;MAIRIE DE L'EUROPE;5;02;Élections Législatives 2nd tour;1000;350;21;0;329;35,00 %;149;45,29 %;180;54,71 %
23;054;FOYER LAÏQUE de SAINT-MARC;5;02;Élections Législatives 2nd tour;804;480;21;0;459;59,70 %;271;59,04 %;188;40,96 %
24;053;FOYER LAÏQUE de SAINT-MARC;5;02;Élections Législatives 2nd tour;759;378;20;0;358;49,80 %;182;50,84 %;176;49,16 %
25;098;GROUPE SCOLAIRE ROSTAND;4;02;Élections Législatives 2nd tour;873;452;28;0;424;51,78 %;214;50,47 %;210;49,53 %
26;038;PATRONAGE LAÏQUE GUERIN;2;02;Élections Législatives 2nd tour;807;486;23;0;463;60,22 %;195;42,12 %;268;57,88 %
27;036;GROUPE SCOLAIRE SANQUER;2;02;Élections Législatives 2nd tour;888;460;20;0;440;51,80 %;171;38,86 %;269;61,14 %
28;031;GROUPE SCOLAIRE JEAN MACE;2;02;Élections Législatives 2nd tour;933;496;28;0;468;53,16 %;234;50,00 %;234;50,00 %
29;052;GROUPE SCOLAIRE KERISBIAN;5;02;Élections Législatives 2nd tour;824;453;28;0;425;54,98 %;253;59,53 %;172;40,47 %
30;099;GROUPE SCOLAIRE ROSTAND;4;02;Élections Législatives 2nd tour;773;393;19;0;374;50,84 %;217;58,02 %;157;41,98 %
31;055;PATRONAGE LAIQUE du PILIER ROUGE;5;02;Élections Législatives 2nd tour;874;434;25;0;409;49,66 %;170;41,56 %;239;58,44 %
32;063;GROUPE SCOLAIRE JACQUARD;5;02;Élections Législatives 2nd tour;864;365;14;0;351;42,25 %;144;41,03 %;207;58,97 %
33;097;GROUPE SCOLAIRE ROSTAND;4;02;Élections Législatives 2nd tour;945;490;29;0;461;51,85 %;261;56,62 %;200;43,38 %
34;090;PATRONAGE LAIQUE DE LA CAVALE BLANCHE;4;02;Élections Législatives 2nd tour;760;434;21;0;413;57,11 %;228;55,21 %;185;44,79 %
35;064;GROUPE SCOLAIRE JACQUARD;5;02;Élections Législatives 2nd tour;806;398;11;0;387;49,38 %;174;44,96 %;213;55,04 %
36;030;GROUPE SCOLAIRE SIMONE VEIL;2;02;Élections Législatives 2nd tour;891;465;22;0;443;52,19 %;221;49,89 %;222;50,11 %
